,count
กองทุนเงินให้กู้ยืมเพื่อการศึกษา (กยศ.),165
การเงิน,2096
มหาวิทยาลัย,22
สินเชื่อเพื่อที่อยู่อาศัย,488
ธนาคาร,799
มนุษย์เงินเดือน,670
truemove,40
ร้องทุกข์,526
เงินฝากออมทรัพย์,5
ประสบการณ์ชีวิตคู่,224
การวางแผนการเงิน,562
กรมสรรพากร,2
สินเชื่อระยะยาว,151
บัตรเครดิต,754
อสังหาริมทรัพย์,135
การออมเงิน,181
อาชีพหลังเกษียณ,7
ปัญหาชีวิต,2335
โรคซึมเศร้า,78
สินเชื่อรถยนต์,335
Mazda,1
รีไฟแนนซ์,147
ปัญหาครอบครัว,828
สุขภาพจิต,203
วุฒิการศึกษา,1
กฎหมายชาวบ้าน,942
สินเชื่อธุรกิจ,211
ที่ดิน,103
สินเชื่อส่วนบุคคล,320
กฎหมายแพ่ง,504
ทนายความ,535
นักกฎหมาย,178
ตราสารหนี้,105
รถยนต์,110
คอนโดมิเนียม,50
ผู้สูงอายุ,2
ครอบครัว,348
ประกันสินเชื่อบ้าน,18
ธนาคารออมสิน,67
สถาบันการจัดการปัญญาภิวัฒน์,1
ปัญหาความรัก,124
เพื่อนวัยเรียน,29
ปัญหาสังคม,152
สังคมไทย,24
โรคติดเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ 2019 (COVID-19),32
Leasing,14
แฟนเก่า,19
หย่าร้าง,89
เครดิตบูโร,361
การลงทุน,72
บ้าน,169
ความรักวัยทำงาน,50
ศาลาคนเศร้า,24
บัตรเดบิต,3
บัตรประจำตัวประชาชน,2
เจ้าของธุรกิจ,123
ศูนย์บริการรถยนต์,11
ธุรกิจส่วนตัว,46
ปัญหาวัยรุ่น,150
คุ้มครองผู้บริโภค,192
ประสบการณ์ความรัก,36
โฉนดที่ดิน,43
กรมที่ดิน,8
ธนาคารกสิกรไทย,31
บัตรกดเงินสด,162
สุขภาพจิตในผู้สูงอายุ,14
พระราชบัญญัติว่าด้วยการกระทำความผิดเกี่ยวกับคอมพิวเตอร์ (พ.ร.บ.คอมพิวเตอร์),6
คดีความ,78
นักศึกษา,29
หุ้นกู้,2
เตือนภัย,140
โรงพยาบาล,4
พยาบาล,2
ทรัพยากรบุคคล,23
พนักงานประจำ,55
ลูกจ้างสัญญาจ้าง,6
Netflix,1
Socialphobia (ภาพยนตร์),1
ดุลการชำระเงิน,2
ธนาคารเกียรตินาคิน,13
หุ้น,16
TapKTC,6
Part Time,8
รีไฟแนนซ์บ้าน,19
LINE BK,2
ชีวิตหลังเกษียณ,36
โรคย้ำคิดย้ำทำ,2
K-Mobile Banking PLUS,2
กองทุนบำเหน็จบำนาญแห่งชาติ (กบช.),5
การบริหารจัดการ,105
รถกระบะ,7
อู่ซ่อมรถ,6
รถมือสอง,15
บัตรเงินสด M CASH,9
กองทุนกู้ยืมเงินเพื่อการศึกษาที่ผูกกับรายได้ในอนาคต (กรอ.),41
Mobile Application,7
เพื่อนบ้าน,5
ภาษีที่ดินและสิ่งปลูกสร้าง,1
ภาษีเงินได้บุคคลธรรมดา,7
ธนาคารเพื่อการเกษตรและสหกรณ์,27
ภาษีมรดก,11
AEON,37
SME,8
ธุรกิจอสังหาริมทรัพย์,5
กองทุนอสังหาริมทรัพย์ (Property Fund),2
เกษตรกรรม,5
งานค้าขาย,18
เรียนต่อต่างประเทศ,3
ความรักต่างวัย,3
กองทุนรวม,5
ธุรกรรมทางการเงิน,59
สินสอด,14
วางแผนแต่งงาน,3
สินเชื่อระยะกลาง,16
การศึกษา,24
การเรียน,34
รัฐบาล,37
เศรษฐกิจ,83
การพัฒนาสังคม (Social Development),9
วิธีรับมือผู้สูงอายุ,10
Single Mom,38
ภาคเหนือ,1
ชีวิตวัยรุ่น,88
สวัสดิการแรงงาน,1
สินทรัพย์ (Assets),3
นักจิตวิทยา,18
ธนาคารไทยพาณิชย์,36
งานธนาคาร,12
ประกันสังคม,6
ผู้ตรวจสอบบัญชี,1
ธนาคารกรุงศรีอยุธยา,44
บ้านเดี่ยว,19
เพื่อนร่วมงาน,20
การประเมินราคาอสังหาริมทรัพย์,9
เศรษฐศาสตร์,25
กฎหมายอาญา (Criminal Law),24
ปลดหนี้ (รายการโทรทัศน์),2
อุบัติเหตุ,4
อุบัติเหตุบนท้องถนน,7
ตลาดรองสินเชื่อที่อยู่อาศัย,2
